,tweetids,topics,alltopics,categories,ThirdPartyObservation,SignificantEventChange,Factoid,FirstPartyObservation,ContinuingNews,EmergingThreats,Official,Hashtags,KnownAlready,ServiceAvailable,Irrelevant,MultimediaShare,Discussion,Sentiment,Unknown,Advice,SearchAndRescue,cleanedtweets
0,665290631930060800,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Restaurant in Paris 10th district has 15 dead, 60 being held hostage in concert hall with grenades &amp; gunfire ongoing"
1,665308764333961217,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,public transport problems in paris due to five attacks in the city and just outside it with suicide bomber and at least two heavily armedmen
2,665308229468073984,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid', 'ContinuingNews']",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": BREAKING: French police official confirms 2 suicide attacks, 1 bombing near Paris stadium."
3,665365972631420929,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'ContinuingNews']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,At least 3 of the dead attackers at Bataclan theatre blew themselves up - French media quoting police #ParisAttacks
4,665284063901696002,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'Factoid', 'Official', 'Hashtags']",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,": PT: According to Police Union, 2 suicide bomber in front of the Stade de France + one near the Stadium #Paris"
5,665594706341060608,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Hashtags', 'KnownAlready']",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Mollins: 9.40pm, Comptoir Voltaire, another suicide bomber. Then 3ppl attack Bataclan, take hostages #ParisAttacks"
6,665418139035922432,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Paris Residents Invite Strangers in After Attacks: Paris residents used the hashtag #PorteOuverte — French for ""open door"" — to offer..."
7,665313556699611141,parisAttacks2015,parisAttacks2015,['Irrelevant'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: French Police urges everyone to stop reporting the situation around Bataclan theatre. Will only inform the terrorists. #ParisA…
8,665290297820057600,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid', 'Hashtags', 'ContinuingNews']",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Paris shootings and explosions near Stade de France kill 18 - BBC News
9,665425848464486400,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'KnownAlready']",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,": Extremists are dead after #Paris attacks; 7 of them were killed in suicide bombings, says prosecutor spokeswoman https:/…"
10,665310124274278400,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'EmergingThreats', 'MultimediaShare', 'KnownAlready']",0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,": Scenes from evacuation of Stade de France, a stadium north of Paris, after bombing nearby"
11,665278805955780608,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,: Breaking in France: The French President was evacuated from the Stade De France after an explosion and a shoot-out in Paris.
12,665324050315657218,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'ContinuingNews']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: Reports ISIL related group claims responsibility for Paris attacks follow
13,665293339407867907,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'MultimediaShare', 'Hashtags', 'ContinuingNews']",0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,: PHOTO: Victims on the pavement at a Paris restaurant. More images from #Paris: -
14,665582253112729601,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags']",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,: Place de la République eerily quiet. Police over loud speaker again ask crowd to disperse. #ParisAttacks
15,665299031183269888,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,": Use #PorteOuverte (open door) for those needing refuge in Paris, locals opening their doors to tourists in need"
16,665284743156637696,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'ContinuingNews']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: #BREAKINGNEWS Terrorists take hostages in #Paris #Bataclan concert hall. (file picture) #ParisAttacks
17,665396358275342336,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'KnownAlready']",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,: Atleat 40 people killed in Paris shootings and bomb attack and others injured. 100 hostages at Paris…
18,665284828405891072,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'Hashtags', 'ContinuingNews']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,": 3 separate attacks in #Paris now. On going. Hostages at Bataclan theatre, shootout rue de Charonne, 3 explosions near St…"
19,665325229300805632,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'Hashtags', 'ContinuingNews']",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,: AFP and others now reporting that “around 100” were killed inside #Bataclan theatre during #ParisAttacks.
20,665311637591621632,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare', 'ContinuingNews']",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,: Paris Attack: 100 hostages inside Bataclan theatre. reports people being shot one-by-one. #Sun7
21,665282490387460096,parisAttacks2015,parisAttacks2015,"['Factoid', 'Hashtags']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: PT: Some more sources are saying the attack near the Stade de France was a suicide bombing (possibly more than one) #Paris
22,665296273080233984,parisAttacks2015,parisAttacks2015,['Discussion'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,: #BREAKING A gunman yelled 'it's for #Syria' in French during the shooting in #Bataclan theatre #ParisAttacks via …
23,665285769075007488,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": hostages were taken at the Bataclan theater in Paris. According to the theater's website, it hosted an Eagles of Death Me…"
24,665288776374185984,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'MultimediaShare', 'Hashtags', 'ContinuingNews']",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,: PARIS ATTACKS - Multiple incidents reported - At least 26 dead - Hostage situation reported at Bataclan theatre https:/…
25,665292836829593600,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: MSNBC has someone on a phone reporting two suicide bombers detonated themselves outside the national stadium in Paris.…
26,665321489395261440,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,: If you are in Paris and seeking shelter tweet #.Porteouverte (without the period). There are people with open doors to h…
27,665309500589510656,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": PARIS () - French police official confirms 2 suicide attacks, 1 bombing near Paris stadium."
28,665367220722122752,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'KnownAlready']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Paris under siege: Terrorists bomb rock venue, soccer stadium, commit simultaneous multiple shootings, over 14..."
29,665315107505737729,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,: Parisians are using #PorteOuverte (open doors) to offer shelter to those in need.
30,665326902513639425,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,": #PorteOuverte ""open doors"" trending in Paris,many in area of attacks offering shelter. Taxidrivers giving free rides h…"
31,665297295588663296,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,: UPDATE: The reported number of deaths in Paris after six shootings and three explosions is now 60. Details here:
32,665292836493914112,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'MultimediaShare']",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,: Paris Bomb Explosions Outside Stade de France Heard During France-Germany Match: Paris is under attack. Frida... http…
33,665289992424595456,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'ThirdPartyObservation', 'SignificantEventChange']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,: You can hear the bomb explosion in #Paris #shooting #paris #BREAKING
34,665349352710389761,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'KnownAlready']",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"""At least 153 people were killed in the Paris and Saint-Denis shootings and bombings."""
35,665338779448836097,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,": At least 149 people were killed in #Paris shootings and bombings, French officials said"
36,665424440134664193,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'KnownAlready']",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,France has declared a national state of emergency and tightened borders after a gun and bomb attack in Paris killed at least 120 people.
37,665293817919221760,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holy fuck. Multiple suicide bombing in Paris. They are saying it's a coordinated attack. 100 people hostage. Holy shit
38,665295224982208512,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4 locations in Paris attacked simultaneously - Cafe, Concert Hall, Conference Hall (60-100 hostages) &amp; Restaurant. 40 dead. Gunman on loose."
39,665284823833964544,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'Hashtags', 'ContinuingNews']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,": Multiple attacks in Paris tonight.First Petit Cambodge restaurant, then Bataclan club, + explosions outside Stade de France…"
40,665294169443840000,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,: Here's the explosion heard during France-Germany game today. Bombings throughout Paris result in at least 26 dead: htt…
41,665278808161951744,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Hashtags']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: BREAKING 3 different shootings reported in #Paris &amp; 3 explosions reported near Stade de France RAID and French Army deploy…
42,665615058853101569,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid']",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,": The Paris attackers were all armed with heavy weaponry and suicide vests, Paris prosecutor said"
43,665313410809249793,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Also, use #PorteOuverte (Open Door) if you're seeking shelter, help, and safety. #Paris"
44,665283119717736449,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hostages in #Paris in addition to the shootings and explosions - 18 dead so far
