,tweetids,topics,alltopics,categories,Hashtags,Advice,Sentiment,ContinuingNews,MultimediaShare,ThirdPartyObservation,Factoid,Official,Donations,Discussion,Irrelevant,ServiceAvailable,Volunteer,CleanUp,FirstPartyObservation,Weather,Unknown,SearchAndRescue,SignificantEventChange,EmergingThreats,GoodsServices,InformationWanted,MovePeople,cleanedtweets
0,74290454534963200,joplinTornado2011,joplinTornado2011,"['Hashtags', 'Advice', 'Sentiment']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#PrayN4t/Lords Healing & Restoration N Joplin. Church Destroyed By Tornado, Yet t/RoofTop Cross Still Standing, Refruge N #Jesus #Christ"
2,74920217951744000,joplinTornado2011,joplinTornado2011,"['Hashtags', 'ContinuingNews']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: from ...
4,77079355364343808,joplinTornado2011,joplinTornado2011,"['MultimediaShare', 'Sentiment']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: The tornado damage in N. Minneapolis. -- damn... just glad my friends are all safe
6,74304399119351808,joplinTornado2011,joplinTornado2011,"['ThirdPartyObservation', 'Factoid', 'Sentiment']",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": A tornado kills 125 innocent people in Joplin. One week later, Westboro Baptist Church protests in Joplin. God - you ..."
8,77720662453649408,joplinTornado2011,joplinTornado2011,"['MultimediaShare', 'Factoid', 'Official', 'ContinuingNews']",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Death toll from Joplin tornado rises to 141: officials - Reuters
10,73023697123938304,joplinTornado2011,joplinTornado2011,"['Donations', 'ThirdPartyObservation', 'Hashtags', 'ContinuingNews']",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Help disaster victims at #mo #tornado #pray
12,75424812020936704,joplinTornado2011,joplinTornado2011,"['Discussion', 'Irrelevant']",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,lmao. A lifetime.
14,74249624017305600,joplinTornado2011,joplinTornado2011,"['ThirdPartyObservation', 'MultimediaShare']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Video of Kitten Found in Joplin Missouri Tornado Debris
16,78566102136930304,joplinTornado2011,joplinTornado2011,"['MultimediaShare', 'ServiceAvailable', 'ContinuingNews']",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,: Cardinals News:: Cards-Royals series to benefit tornado victims
18,73894035332399104,joplinTornado2011,joplinTornado2011,"['Volunteer', 'ServiceAvailable', 'Official', 'CleanUp', 'Hashtags', 'ContinuingNews']",1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,: #MONeeds #Volunteers City DistCtr to form teams we are sending into the area to help people with clean up. Open every day 9a ...
