,tweetids,topics,alltopics,categories,ThirdPartyObservation,Factoid,ContinuingNews,EmergingThreats,Advice,PastNews,Irrelevant,Sentiment,Discussion,SearchAndRescue,FirstPartyObservation,Donations,MultimediaShare,Volunteer,GoodsServices,MovePeople,Official,ServiceAvailable,CleanUp,InformationWanted,SignificantEventChange,KnownAlready,Weather,Hashtags,Unknown,cleanedtweets
437,351734622884855808,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#yycflood be sure when you are ready for re building you call companies that have a biz license
438,351741648327294977,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Happy Canada Day everyone! Let's show national solidarity for #abflood victims and donate recycling proceeds to …
439,351776825967513600,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'ContinuingNews', 'Sentiment']",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Unloading a truck filled with clean-up kits in High River. #abflood #AlbertaFloodRelief
440,352043285876977664,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unofficial “anthem” of #Alberta floods by #Canadian musicians aims to lift spirits #ABFloods #HellOrHighWater
441,352054501466849280,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Get the Alberta Strong (Flood Montage) as heard on &amp; supporting Alberta Flood Relief!
442,352132125450973185,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cheers for the follow . Donated blood to to make up for #abflood shortfall. Thx 4 all ur doing!
443,352142128878592003,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'ContinuingNews', 'Sentiment']",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": We have an estimated $50 million in flood damage, and $10 million in lost revenue due to closure for repairs. #yycflood #yyc"
444,352170146829307904,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AB relief Cards are available today - if you are in Sunnyside, please go to Queen Elizabeth High School! #yycflood"
445,352193337106763776,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: We couldn't resist. Thanks for helping get us out of this pickle #yycflood #yyc #yycpickle
446,352212060492402688,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": GREAT NEWS! BVC will resume classes at 8am on July 8, 2013. More info at: #yyc #yycflood #abpse #cndp…"
447,352299717251694592,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Hi Please RT Free legal info session for victims of #yycflood Wed and Thurs.
448,352393543832190977,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VOLUNTEERS: Please enter via the #highriver rodeo grounds (on HWY 2A as you enter the town) #abflood #hrhelps #YYChelps #missionpossible2
449,352488871973486592,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'ContinuingNews', 'Advice']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Thoughts, prayers and love to everyone affected by the flooding in Calgary. Needed 2 postpone our show this week, but it…"
450,352520278926041088,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Faces of the flood - Shaun Robinson #yycriseabove #abflood
451,352542206734778369,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Sentiment']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": #Heritage Education Funds Donates $10,000 to Canadian #Red #Cross #Alberta Flood Fund. Read more:"
452,352600079741362177,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: CREB: Too Early to see impact of floods on resale stats #yycre #yyc #remax #calgary #highriver |
453,352603552633470978,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: A pic of orchids we're sending #yyc businesses affected by flooding #yyconward #yycflood #yycre
454,352612109022015489,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: So sad to hear about the floods in Calgary and that the show was cancelled. I'll be back soon! Stay safe everyone! Xox
455,352762298634473472,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lots of good comes out from this disaster... also some lessons. #abflood #abpoli #abparty via
456,352796817777369092,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Why you need to develop a business continuity plan #abflood
457,352832884589072384,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'ContinuingNews', 'Advice']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flooding at St. Mary's High School. #CCSD #yycflood
458,352852388102684673,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'ContinuingNews']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calgary's flood emergency officially ends - CBC.ca: CBC.caCalgary's flood emergency officially endsCBC.caThe s...
459,352856926331219969,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Official', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,: Alberta government protecting consumers during rebuilding #abflood #ableg
460,352861875630903296,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Video: Alberta flood victims need relief, not politics: Mulcair"
461,352868754264293377,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: The rest of Canada doesn’t understand how bad Alberta’s floods were: Mulcair #yyc #yycflood #abf…
462,352957337981566976,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Advice']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Calgary I just heard the saddledome is closed after the flood. I can't play my show but I will come back soon - hold on to y…
463,353009414443241473,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Guess what showed up in the mail today? #yycflood #yycStampede
464,353011381588590594,albertaFloods2013,albertaFloods2013,"['FirstPartyObservation', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Reflections on Obama's climate change speech last week... #climate #climatechange #extremeweather #weather #abflood http…
465,353165513851015170,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joining the and after #Alberta floods. Get your Tee at reebok.ca. Proceeds go to
466,353176226124406784,albertaFloods2013,albertaFloods2013,"['ThirdPartyObservation', 'MultimediaShare', 'Sentiment']",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": #AFN National Chief w/ Stoney Nation volunteers in Morley, AB today #abflood"
