,tweetids,topics,alltopics,categories,FirstPartyObservation,Official,ContinuingNews,ThirdPartyObservation,SignificantEventChange,Factoid,Advice,Irrelevant,KnownAlready,EmergingThreats,MultimediaShare,ServiceAvailable,PastNews,Sentiment,Donations,Volunteer,Discussion,Weather,InformationWanted,MovePeople,cleanedtweets
0,395910924227596288,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Official', 'ContinuingNews']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: #nswfires October 2013 sourced info &amp; chronological referencing #fibrenews© #australia's leading free community service …
1,396108375261712385,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSW Fire and Rescue have responded to an industrial fire at OneSteel at Mayfield this afternoon. #nbnnews
2,396227879375089664,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We have a number of RAFT members at fires on the NSW South Coast - best of luck to them - be safe and we will see you soon!
3,388929052247347200,australiaBushfire2013,australiaBushfire2013,"['SignificantEventChange', 'Factoid', 'Official']",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -...
4,388945930130841600,australiaBushfire2013,australiaBushfire2013,"['Factoid', 'Official']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire...
5,388955358901067776,australiaBushfire2013,australiaBushfire2013,"['Official', 'Advice']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Fire Danger Update - Tomorrow signs will be on VERY HIGH - Southern Ranges Region #NSWRFS Permits Suspended
6,388986124107927553,australiaBushfire2013,australiaBushfire2013,"['ContinuingNews', 'Advice']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,": ""Do not light fires in the open"": RFS warns as #Sydney braces for strong winds and hot weather on Sunday."
7,389174297400324096,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,just read big fire for Sydney? hope not really serious?
8,389189413667758080,australiaBushfire2013,australiaBushfire2013,"['ContinuingNews', 'KnownAlready']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Another extreme fire danger day for NSW, with heat and thunderstorms creating extreme bushfire danger: #ANN"
9,389229293101785089,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Official']",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,: #NSWRFS crews are responding to a fire reported in the Salt Ash area (Port Stephens). #nswfires
