,tweetids,topics,alltopics,categories,Irrelevant,ThirdPartyObservation,ContinuingNews,Hashtags,Sentiment,MultimediaShare,Factoid,FirstPartyObservation,KnownAlready,Discussion,PastNews,GoodsServices,MovePeople,ServiceAvailable,Advice,Official,SignificantEventChange,InformationWanted,EmergingThreats,Donations,Volunteer,CleanUp,SearchAndRescue,Weather,Unknown,cleanedtweets
6277,269710855782932480,guatemalaEarthquake2012,guatemalaEarthquake2012,"['EmergingThreats', 'Factoid', 'ContinuingNews']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,": 4.5 earthquake, 67km SSW of Ocos, Guatemala. Nov 17 00:47 at epicenter (34m ago, depth 35km)."
6278,271320583541776384,guatemalaEarthquake2012,guatemalaEarthquake2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#Sismo de 5.0 grados a las 17:42:37UTC de 21/11/2012 en NEAR THE EAST COAST OF HONSHU, JAPAN"
6279,266219655549575169,guatemalaEarthquake2012,guatemalaEarthquake2012,"['FirstPartyObservation', 'EmergingThreats', 'Factoid']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Ooh "": 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). """
6280,266219869471649793,guatemalaEarthquake2012,guatemalaEarthquake2012,"['EmergingThreats', 'Factoid', 'KnownAlready']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,": RT : 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). ht ..."
6281,266220150485835776,guatemalaEarthquake2012,guatemalaEarthquake2012,"['EmergingThreats', 'Factoid', 'KnownAlready']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,""": 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter. "" QUE GRUESO!"
6282,266220314038501376,guatemalaEarthquake2012,guatemalaEarthquake2012,"['EmergingThreats', 'Factoid', 'KnownAlready']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,""": 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km)."" O.o"
6283,266220368585449472,guatemalaEarthquake2012,guatemalaEarthquake2012,"['Factoid', 'Official']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: 7.5 Earthquake just struck off Pacific Coast of Guatemala:
6284,266221849166376961,guatemalaEarthquake2012,guatemalaEarthquake2012,"['Factoid', 'Official']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,": 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km)."
6285,266222126007197696,guatemalaEarthquake2012,guatemalaEarthquake2012,"['MultimediaShare', 'ContinuingNews']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Strong tremor felt in Guatemala City, El Salvador: GUATEMALA CITY (Reuters) - A strong earthquake shook building..."
6286,266222386045661184,guatemalaEarthquake2012,guatemalaEarthquake2012,"['Factoid', 'ContinuingNews', 'KnownAlready']",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: USGS: 7.5-magnitude earthquake strikes off #Guatemala
6287,266222608339587072,guatemalaEarthquake2012,guatemalaEarthquake2012,"['Factoid', 'ContinuingNews', 'KnownAlready']",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Magnitude 7.3 earthquake hits off Guatemala's Pacific coast, USGS reports -"
6288,266223346520297472,guatemalaEarthquake2012,guatemalaEarthquake2012,"['EmergingThreats', 'Factoid', 'KnownAlready']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: Magnitude 7.5 Quake Hits Off Guatemala's Pacific Coast -USGS
6289,266223430431551489,guatemalaEarthquake2012,guatemalaEarthquake2012,"['ThirdPartyObservation', 'EmergingThreats', 'Factoid', 'KnownAlready']",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Watching the news when the earthquake alarm went off. 7.3 along the border with Guatemala from what I know.
6290,266223501705355266,guatemalaEarthquake2012,guatemalaEarthquake2012,"['MultimediaShare', 'Factoid', 'Official', 'ContinuingNews']",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,": Revised (7.5 -&gt; 7.4): 7.4 earthquake, 24km S of Champerico, Guatemala. Nov 7 10:35 at epicenter (20m ago, depth 42 ..."
