,tweetids,topics,alltopics,categories,Irrelevant,ThirdPartyObservation,ContinuingNews,Hashtags,Sentiment,MultimediaShare,Factoid,FirstPartyObservation,KnownAlready,Discussion,PastNews,GoodsServices,MovePeople,ServiceAvailable,Advice,Official,SignificantEventChange,InformationWanted,EmergingThreats,Donations,Volunteer,CleanUp,SearchAndRescue,Weather,Unknown,cleanedtweets
0,204099568009355265,italyEarthquakes2012,italyEarthquakes2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Quake hits northern Italy, one dead"
1,204101208015769600,italyEarthquakes2012,italyEarthquakes2012,"['ThirdPartyObservation', 'ContinuingNews']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Three killed in Italy earthquake: An earthquake in northern Italy kills at least three people and causes thousan...
2,204101451268624385,italyEarthquakes2012,italyEarthquakes2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: At least 3 dead after earthquake rocks northern Italy
3,204105960145428480,italyEarthquakes2012,italyEarthquakes2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Three killed in Italy earthquake
4,204111366599094273,italyEarthquakes2012,italyEarthquakes2012,['ThirdPartyObservation'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: An #earthquake hit northern Italy at 4:03am. It killed at least 4 people and caused lots of panic and damages. #prayforitaly
5,204130681377390592,italyEarthquakes2012,italyEarthquakes2012,['ThirdPartyObservation'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": The 5.9 earthquake hitting north Italy this morning at 4 am was felt in Milan, but had no consequences on the ISSF WC ..."
6,204131721560596481,italyEarthquakes2012,italyEarthquakes2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": People, Coppa Final might be postponed. 5.9 magnitude earthquake this morning in Italy (epicenter Ferrara). 3 dead so far :/"
7,204144421904723969,italyEarthquakes2012,italyEarthquakes2012,"['ThirdPartyObservation', 'ContinuingNews']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: BBC News - Four killed in northern Italy earthquake #geographyteacher
8,204165208879546368,italyEarthquakes2012,italyEarthquakes2012,"['ThirdPartyObservation', 'ContinuingNews']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 Die After Earthquake in Italy - New York Times
9,204167490606075905,italyEarthquakes2012,italyEarthquakes2012,['Irrelevant'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5 #earthquake! Sun May 20 12:12:21 GMT+02:00 2012 near Northern Italy
