,tweetids,topics,alltopics,categories,ThirdPartyObservation,Factoid,ContinuingNews,EmergingThreats,Advice,PastNews,Irrelevant,Sentiment,Discussion,SearchAndRescue,FirstPartyObservation,Donations,MultimediaShare,Volunteer,GoodsServices,MovePeople,Official,ServiceAvailable,CleanUp,InformationWanted,SignificantEventChange,KnownAlready,Weather,Hashtags,Unknown,cleanedtweets
1872,368659239272579073,manilaFloods2013,manilaFloods2013,"['Weather', 'EmergingThreats', 'SignificantEventChange', 'Factoid']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,: WEATHER BULLETIN No. 2 Tropical Cyclone Alert: Tropical Depression “#MaringPH” Issued at 11:00AM 17 August...
1873,368967734542864384,manilaFloods2013,manilaFloods2013,"['MultimediaShare', 'ContinuingNews']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas"
1874,369087058293186561,manilaFloods2013,manilaFloods2013,"['Weather', 'ContinuingNews']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,": PAGASA raises red rainfall warning, the highest rainfall alert, over Metro Manila. Expect torrential rains, flood in low-lyi…"
1875,369089159635283968,manilaFloods2013,manilaFloods2013,"['Weather', 'EmergingThreats']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,: PAGASA: Red Rainfall Warning No. 6 Weather System: Southwest Monsoon (#Habagat) enhanced by Tropical Storm...
1876,369091105783955458,manilaFloods2013,manilaFloods2013,['ContinuingNews'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Corrected: CITY OF MANILA has been declared #walangpasok tom. Not the entire METRO MANILA. #maringupdates
1877,369092347323105281,manilaFloods2013,manilaFloods2013,['Irrelevant'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""": NO CLASSES TOMORROW. SURE NA SURE NA DAW. Ingat ang lahat. God bless :) #Maring""- Swerte!! :)"
1878,369093215552430081,manilaFloods2013,manilaFloods2013,['ContinuingNews'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Red Rainfall Warning No. 6 Weather System: Southwest Monsoon (#Habagat) enhanced by Tropical Storm “MARING”...
1879,369099410526855170,manilaFloods2013,manilaFloods2013,['Advice'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men."
1880,369115017536217090,manilaFloods2013,manilaFloods2013,"['Weather', 'Official']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,: 11:00 pm Moderate to heavy rains due to SW Monsoon (#Habagat) is affecting of Quezon and most likely to continue for the n…
1881,369116846261166080,manilaFloods2013,manilaFloods2013,"['EmergingThreats', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MMDA: Floods reach waist-deep levels in parts of Quezon City #ManilaNews #Manila #metronews
1882,369118968566394880,manilaFloods2013,manilaFloods2013,"['Weather', 'EmergingThreats', 'Official']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,: WEATHER BULLETIN No. 5 Tropical Cyclone Alert: Tropical Storm “#MaringPH” - 11:15PM 18 August 2013 vi…
1883,369121183150505985,manilaFloods2013,manilaFloods2013,"['ThirdPartyObservation', 'EmergingThreats', 'Factoid']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live : Commuters are now stranded near a mall beside Manila City Hall due to rising floods #RescuePH
1884,369123364213776384,manilaFloods2013,manilaFloods2013,"['Weather', 'ContinuingNews']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,": Tropical Storm Maring will continue to enhance the southwest monsoon, which will bring moderate-heavy rains in Luzon #Maring…"
