,tweetids,topics,alltopics,categories,Irrelevant,ThirdPartyObservation,ContinuingNews,Hashtags,Sentiment,MultimediaShare,Factoid,FirstPartyObservation,KnownAlready,Discussion,PastNews,GoodsServices,MovePeople,ServiceAvailable,Advice,Official,SignificantEventChange,InformationWanted,EmergingThreats,Donations,Volunteer,CleanUp,SearchAndRescue,Weather,Unknown,cleanedtweets
103,591907253239820288,nepalEarthquake2015,nepalEarthquake2015,['Sentiment'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I feel so bad for the people of Nepal. #PrayForNepal #earthquake
104,591909766785605632,nepalEarthquake2015,nepalEarthquake2015,['Discussion'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hi it's Amy from The Bay here - Could you give me a follow back so I can speak to you about the Nepal &amp; local people involved?
105,591908028993114113,nepalEarthquake2015,nepalEarthquake2015,"['ThirdPartyObservation', 'Factoid', 'Discussion']",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Treat with extreme caution but this is the USGS auto estimate of #Nepal casualty probabilities
106,591906719099420672,nepalEarthquake2015,nepalEarthquake2015,"['ThirdPartyObservation', 'ContinuingNews']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earthquake near/in Kathmandu - not clear what the extent of the damage is yet
107,591909837744701440,nepalEarthquake2015,nepalEarthquake2015,['MultimediaShare'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,These Pics tell pain of Nepal Earthquake &gt; &lt; PLZ RT &amp; Share Their Pain. #CandleLightVigil
108,591906664422330368,nepalEarthquake2015,nepalEarthquake2015,"['Factoid', 'PastNews', 'Discussion']",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Of course not....
109,591907197820370944,nepalEarthquake2015,nepalEarthquake2015,"['MultimediaShare', 'ContinuingNews']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Earthquake severe damage to Kathmandu. Tragic loss of life.
110,591906033276035073,nepalEarthquake2015,nepalEarthquake2015,"['GoodsServices', 'MovePeople']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,People with vehicles please move out to support in areas near Durbar square. #Nepal
111,591906701516742658,nepalEarthquake2015,nepalEarthquake2015,['Sentiment'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ya my frnd me and our india all with u and ur #nepal
112,591906212108578816,nepalEarthquake2015,nepalEarthquake2015,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My cousin just sent me these pictures.The entire bhaktpur durbar square is no more! #Kathmandu #earthquake
