,tweetids,topics,alltopics,categories,ThirdPartyObservation,Factoid,ContinuingNews,EmergingThreats,Advice,PastNews,Irrelevant,Sentiment,Discussion,SearchAndRescue,FirstPartyObservation,Donations,MultimediaShare,Volunteer,GoodsServices,MovePeople,Official,ServiceAvailable,CleanUp,InformationWanted,SignificantEventChange,KnownAlready,Weather,Hashtags,Unknown,cleanedtweets
1159,297239100556193792,queenslandFloods2013,queenslandFloods2013,"['Hashtags', 'Sentiment', 'Irrelevant']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#bigwet #bundaberg how awful for these residents not being able to see there homes yet
1160,297242577613250561,queenslandFloods2013,queenslandFloods2013,"['ThirdPartyObservation', 'Official', 'Hashtags', 'ContinuingNews']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,: #bigwet Latest BoM flood summary and warnings can be found at or QLDAlert
1161,297254644625838080,queenslandFloods2013,queenslandFloods2013,"['ContinuingNews', 'Unknown']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Wisma Putra Malaysian victim of Queensland floods yet to be confirmed
1162,297276920578584576,queenslandFloods2013,queenslandFloods2013,"['Hashtags', 'Sentiment', 'Irrelevant']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hello #world #Happy #Friday #everyone And #wishing our #friends in #Australia who are #suffering from #floods stay #safe :-0)
1163,297299506888835075,queenslandFloods2013,queenslandFloods2013,"['Hashtags', 'Sentiment', 'Irrelevant']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wow that storm hit quickly and packed a punch! #bigwet #Toowoomba It's not what people who are cleaning up need.
1164,297300895216058368,queenslandFloods2013,queenslandFloods2013,"['Volunteer', 'ThirdPartyObservation', 'CleanUp', 'Hashtags', 'Advice']",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,: #MudArmy - Logan is FULL with Volunteers for this weekend but LOCKYER VALLEY needs you! #BigCleanUp #BigWet ...
1165,297307861980164096,queenslandFloods2013,queenslandFloods2013,"['Sentiment', 'Irrelevant']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"My thoughts go out to all of the flood and fire victims around Australia, stay strong"
1166,297369233023717376,queenslandFloods2013,queenslandFloods2013,"['PastNews', 'Irrelevant']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Floods in Eastern Australia
1167,297428813099450368,queenslandFloods2013,queenslandFloods2013,"['Factoid', 'ContinuingNews']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE: Mur’bah businesses record $200,000 in flood losses #qld"
1168,297433858851352576,queenslandFloods2013,queenslandFloods2013,"['MultimediaShare', 'Hashtags', 'ContinuingNews']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Briefing for North Bundaberg residents ahead of return. #bigwet
1169,297467400717217792,queenslandFloods2013,queenslandFloods2013,"['Official', 'CleanUp', 'ContinuingNews']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Central: Insurance Council says Rocky flash flood clean-up can begin #qld
