,tweetids,topics,alltopics,categories,ThirdPartyObservation,Advice,MultimediaShare,Factoid,ContinuingNews,Official,Weather,Sentiment,Discussion,Irrelevant,SignificantEventChange,MovePeople,KnownAlready,Hashtags,FirstPartyObservation,EmergingThreats,InformationWanted,ServiceAvailable,Donations,CleanUp,Volunteer,GoodsServices,PastNews,SearchAndRescue,Unknown,cleanedtweets
0,541138931144589312,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'Advice']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sorsogon, prepare for #Hagupit. You have about one hour of daylight left."
1,541141540312059905,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Super Typhoon Hagupit: 500,000 Flee As Storm Approaches via"
2,541101630918496257,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'Factoid']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"500K flee coastal villages, landslide-prone areas of #Philippines as Super Typhoon #Hagupit approaches- `"
3,541140584849997824,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In the Philippines, hundreds of thousands flee approaching typhoon - LA Times"
4,541142155989770242,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'Factoid', 'Official']",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acting DOH chief Garin orders transfer of all pregnant women in evacuation centers to nearest govt hospitals. #hagupit #ruby
5,541139474391265280,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'Weather']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DOST_PAGASA: ""#RubyPH Update: 02PM today 06Dec.2014, Typhoon RUBY was located at 230km East of Catarman, Norther..."
6,541142749148631040,typhoonHagupit2014,typhoonHagupit2014,['Sentiment'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Thinking and #praying much about those in #Tacloban and The #Philippines with the impending #typhoon #PrayForThePhilippines
7,541142644106080256,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"More than 600000 flee as typhoon blows near eastern Philippines, military on ...."
8,541138989978103808,typhoonHagupit2014,typhoonHagupit2014,"['ThirdPartyObservation', 'Weather', 'MultimediaShare']",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#Fitness #Health Typhoon barrels toward Philippines
9,541101065652150272,typhoonHagupit2014,typhoonHagupit2014,"['MultimediaShare', 'Discussion']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Did you see #typhoon #Hagupit with #MeteoEarth?
