,tweetids,topics,alltopics,categories,ThirdPartyObservation,Advice,MultimediaShare,Factoid,ContinuingNews,Official,Weather,Sentiment,Discussion,Irrelevant,SignificantEventChange,MovePeople,KnownAlready,Hashtags,FirstPartyObservation,EmergingThreats,InformationWanted,ServiceAvailable,Donations,CleanUp,Volunteer,GoodsServices,PastNews,SearchAndRescue,Unknown,cleanedtweets
3941,402699237487812608,typhoonYolanda2013,typhoonYolanda2013,"['Hashtags', 'Advice']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,: Get SharePoint consulting from MVPs by helping the #Haiyan victims!
3942,402741780287737856,typhoonYolanda2013,typhoonYolanda2013,"['Donations', 'MultimediaShare', 'ContinuingNews']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: Join ABC7 and the Red Cross in helping the victims of Typhoon Haiyan in the Philippines. Call 415-954-7621 to donate! …
3943,402756242281865216,typhoonYolanda2013,typhoonYolanda2013,"['Donations', 'Hashtags', 'ContinuingNews']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Sketches for survivors. Thursday, 1030-1050, 1220-1300hrs MISJ. #haiyan #relief #donate #we..."
3944,402758335222394880,typhoonYolanda2013,typhoonYolanda2013,['ContinuingNews'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We Are The World for Philippines [TYPHOON HAIYAN]
3945,402807966401069056,typhoonYolanda2013,typhoonYolanda2013,"['ThirdPartyObservation', 'ServiceAvailable', 'Hashtags', 'ContinuingNews']",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Regram from laureenmuy. Please pass! #tabangtacloban #YolandaPH
3946,402851922731732992,typhoonYolanda2013,typhoonYolanda2013,"['Volunteer', 'Hashtags', 'ContinuingNews']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,: AMYA volunteers are running two campaigns to help both the victims of #TyphoonHaiyan and those in #Syria. Let us know if you wa…
3947,402856913961897985,typhoonYolanda2013,typhoonYolanda2013,"['Donations', 'Hashtags', 'ContinuingNews']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,#WSECU accepting #TyphoonAid donations at credit union. Funds will go to
3948,402913277023244290,typhoonYolanda2013,typhoonYolanda2013,"['Donations', 'ContinuingNews']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: Contribute to #Haiyan relief efforts. Donate to the via iTunes at
3949,402948165223333888,typhoonYolanda2013,typhoonYolanda2013,"['Hashtags', 'Advice']",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Cost of drinking water rapidly increasing on #Bantanyan Island can be as much 100% pre#Haiyan likely to increase.
3950,402956289593987072,typhoonYolanda2013,typhoonYolanda2013,"['MultimediaShare', 'Advice']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yeb Sano tells UN summit in Warsaw “colossal devastation” from Typhoon Haiyan should serve as warning to planet
3951,402995657310347264,typhoonYolanda2013,typhoonYolanda2013,"['Hashtags', 'ContinuingNews']",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,: Surviving the Storm: Documenting the Aftermath of Typhoon Haiyan on Instagram #Haiyan
3952,403050451723386880,typhoonYolanda2013,typhoonYolanda2013,"['MultimediaShare', 'ContinuingNews']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEC Philippines Typhoon Appeal - BBC | Watch:
