,tweetids,topics,cleanedtweets
0,389908166353231872,earthquakeBohol2013,"Earthquake in Iloilo, Philippines! My head's aching."
1,389909609190006784,earthquakeBohol2013,": NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago)"
2,389910137676107776,earthquakeBohol2013,": 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…"
3,389910670361100288,earthquakeBohol2013,": JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via"
4,389911173665001472,earthquakeBohol2013,": 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…"
5,389911358214393856,earthquakeBohol2013,": JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via"
6,389911794442964992,earthquakeBohol2013,: 7.2 earthquake recorded in the Philippines' Bohol province -
7,389911937040932864,earthquakeBohol2013,": 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…"
8,389911949644808193,earthquakeBohol2013,": 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…"
9,389912650068402177,earthquakeBohol2013,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami."
10,389913589596704768,earthquakeBohol2013,: 7.2 Earthquake in Philippines just now via:
11,389913644131045376,earthquakeBohol2013,": #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet"
12,389913971287154688,earthquakeBohol2013,: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami
13,389914239730610176,earthquakeBohol2013,"Magnitude 7.4 quake hits Philippines, no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m..."
14,389915464446795776,earthquakeBohol2013,": NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao, Philippines #tsunami #PTWC"
15,389917091823763456,earthquakeBohol2013,"USGS M 7.2, 5km E of Balilihan, Philippines: Tuesday, October 15, 2013 00:12:37 UTCTuesday, Octobe... #earthquake"
16,389917750363029504,earthquakeBohol2013,"#Temblor M 5.4, 6km NNE of Nueva Fuerza, Philippines #Earthquake #Sismo"
17,389918857642536960,earthquakeBohol2013,": NEW: Significant preliminary 7.2 magnitude earthquake just off Nueva Vida Sur, Philippines -"
18,389919981720195073,earthquakeBohol2013,: there was a 7.2 magnitude earthquake in philippines after u posted that G.U.Y. snippet. THIS WORLD CAN'T HANDLE #ARTPOP. …
19,389920120119635969,earthquakeBohol2013,National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake -
20,389920547934449664,earthquakeBohol2013,A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.
21,389922229871321088,earthquakeBohol2013,": 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency -"
22,389922594788364288,earthquakeBohol2013,7.4 quake strikes Philippines
23,389922607333515264,earthquakeBohol2013,": 4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency -"
24,389923207127392256,earthquakeBohol2013,": Magnitude 7.4 quake hits Philippines, no tsunami threat:"
25,389923253285707776,earthquakeBohol2013,: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philipp…
26,389924079555207168,earthquakeBohol2013,": A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says."
27,389924092130107392,earthquakeBohol2013,"#earthquake M7.2: Bohol, Philippines"
28,389924213751963649,earthquakeBohol2013,"Lord God, keep the people safe in the Philippines #earthquake"""
29,389924276666523650,earthquakeBohol2013,": #Breaking: #Earthquake measuring 7.4 hits southern Philippines, says USGS"
30,389924633220112384,earthquakeBohol2013,7.2 quake hits southern Philippines
31,389924834547089409,earthquakeBohol2013,Major earthquake hits the Philippines
32,389926310924914688,earthquakeBohol2013,#Jackrobinson73 7.2-earthquake hits Philippines #Jackrobinson73
33,389926344487759873,earthquakeBohol2013,Major quake hits Philippines
34,389926386418216960,earthquakeBohol2013,Breaking: A 7.2 earthquake just hit Bohol in central Philippines.
35,389926671618297856,earthquakeBohol2013,: #earthquake: M 7.2 - Pacific Ocean - West Philippines [Central Visayas] Buenavista: Preliminary Earthquake Rep...
36,389927728591294464,earthquakeBohol2013,""": At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say"""
37,389927984435449856,earthquakeBohol2013,: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas
38,389928236118855680,earthquakeBohol2013,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ..."
39,389928303219335169,earthquakeBohol2013,"7.2 Quake Hits Central Philippines, Killing 4: 7.2-magnitude quake hits central Philippine island, killing at ..."
40,389929347617812480,earthquakeBohol2013,'Four killed' by Philippines quake
41,389929771234111488,earthquakeBohol2013,"7.2 quake his Philippines: MANILA, Oct. 14 (UPI) -- A magnitude-7.2 earthquake hit the Philippines Tuesday mo..."
42,389929787990355968,earthquakeBohol2013,""": Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas """
43,389930106766245888,earthquakeBohol2013,": 7.2 quake strikes near one of Philippines' largest cities, according to USGS. Reuters &amp; local media report 4 killed"
44,389930626867933184,earthquakeBohol2013,": 7.2 magnitude quake strikes #Bohol, #Philippines at 8:12 am according to the USGS. Praying for the safety of our our kababay…"
45,389931167941541888,earthquakeBohol2013,"#SuryaRay #Indian 7.2 quake hits central Philippines, killing 4 - USA TODAY #India"
46,389931276972875777,earthquakeBohol2013,Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram...
47,389931490894548993,earthquakeBohol2013,GOD . wag nio po clang papabayaan #PrayForBohol
48,389931578971131904,earthquakeBohol2013,"4 people killed in building collapse in Cebu Philippines after 7.2 earthquake, per National Disaster Agency -"
49,389931587363565570,earthquakeBohol2013,"7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday,..."
