,tweetids,topics,cleanedtweets
0,503866427322159104,earthquakeCalifornia2014,WCVB Boston: California quake: Recovering after 6.0 tremor.
1,503866526676819969,earthquakeCalifornia2014,California quake damages historic buildings - #News
2,503866635745099776,earthquakeCalifornia2014,90% Of CA Homes Don't Have Quake Insurance. There Are Reasons
3,503866707568373760,earthquakeCalifornia2014,Earthquake Mag 2.8 Saturday 8/23/14 8:24pm UTC Central California #PocketWeather
4,503866815203012608,earthquakeCalifornia2014,California begins quake clear-up
5,503866885629554688,earthquakeCalifornia2014,Napa Valley Wineries Picking Up the Pieces After Earthquake...
6,503866910166253568,earthquakeCalifornia2014,B.R. Cohn Winery after Napa earthquake.
7,503866926330679296,earthquakeCalifornia2014,Scores injured in magnitude 6.1 #NapaQuake -&gt; #earthquake
8,503867092547141632,earthquakeCalifornia2014,"Disaster News: PG&amp;E says over 20 #gas-distribution outages remain after Sunday's mag 6.0 #Earthquake near #Napa, California."
9,503867097060225024,earthquakeCalifornia2014,M-C: CA 'Quake knocks Napa stations off-air.
10,503867406323056640,earthquakeCalifornia2014,¤ USA 823 earthquake The Bay Area just got hit with its largest earthquake in 25 years janinebucks Alabama USA Montg…
11,503867483795619840,earthquakeCalifornia2014,6.0-magnitude quake shakes San Francisco; largest Bay Area quake since 1989 - Dallas Morning News #BayArea
12,503867552536489985,earthquakeCalifornia2014,"my home away from home on many occasions &gt; please let the damage be buildings, not people. #earthquake #sonoma #napa"
13,503867580495327232,earthquakeCalifornia2014,California earthquake: Kids skateboard on fissured streets as clean-up operation begins
14,503867657628962817,earthquakeCalifornia2014,That San Francisco earthquake was much worse that I imagined. Hope everybody's OK!
15,503867895240073217,earthquakeCalifornia2014,Earthquake Rocks Napa Valley: via
16,503867944213184512,earthquakeCalifornia2014,Billions of dollars of wine rocked in California earthquake:
17,503868013762715649,earthquakeCalifornia2014,California quake: Recovering after 6.0 tremor
18,503868128103653376,earthquakeCalifornia2014,"#Detroit #News Earthquake's timing left many fumbling in dark in California's wine country: Napa, Calif. — A p..."
19,503868153253089280,earthquakeCalifornia2014,"California quake; journalist freed in Syria; more news you should know -- This morning from CBS News: Aug. 25, 2014 -"
20,503868161159331840,earthquakeCalifornia2014,From Sunday: Sonoma Raceway escapes earthquake damage; #nascar
21,503868170290331648,earthquakeCalifornia2014,"Pretty interesting ""event"" study using ""big data""..."
22,503868176086478849,earthquakeCalifornia2014,Our extensive coverage of the #napaquake from --
23,503868275726376960,earthquakeCalifornia2014,‘UNITED STATES: ‘ Napa Valley Suffers Worst Earthquake Since October 17 1989 As Residents Remember ‘:... #ANS2014
24,503868704782708737,earthquakeCalifornia2014,"Some interesting #mathchat (I know, it's early for that!) from who breaks down #napaquake in TNT equivalent"
25,503868877185380352,earthquakeCalifornia2014,"Violent quake rocks Bay Area: Are more aftershocks to come? - Bridewell, who said he had to climb over fallen..."
26,503869044077129728,earthquakeCalifornia2014,A Real-Time Sleep Chart Shows The Napa Valley Earthquake Woke Up Almost Everyone There: via
