,tweetids,topics,cleanedtweets
0,1099173151118950400,fireAndover2019,Congratulations ! The 60th McIntyre-Shaheen 100 Club Dinner was . New Hampshire is fired up and ready to re…
1,1099222772839051265,fireAndover2019,: 01:48 ODOR OF SMOKE OR SMOKE INSIDE at 1XX HAMPSHIRE ST in #CambMA
2,1099230402277851137,fireAndover2019,: Congratulations ! The 60th McIntyre-Shaheen 100 Club Dinner was . New Hampshire is fired up and ready to re-elec…
3,1099277855106756608,fireAndover2019,". has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua,…"
4,1099281356922724358,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
5,1099282310518751232,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
6,1099283001316274176,fireAndover2019,So last week we teamed up with Hampshire Fire &amp; Rescue service to assist on some training at their academy and it w…
7,1099287833255333888,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
8,1099309846804004866,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
9,1099316572898971649,fireAndover2019,Important advice from Hampshire FRS. Fire safety at home via
10,1099318637339512832,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
11,1099322975092948992,fireAndover2019,#sillybasturds threatening behaviour with a deadly weapon may justifiably result in deadly force bein…
12,1099352122565541889,fireAndover2019,": . has suspended the #HoodCleaning Certificate of Competency for Mr. Christopher Morlock of Nashua, New Hampshi…"
13,1099418163236589568,fireAndover2019,Some more photos reposted by after our Hampshire and fire rescue training last week week ago today actually! Amaz…
14,1099452971560009728,fireAndover2019,Didnt I see this guy with a fire extinguisher at New Hampshire a while back?
15,1099453984128020482,fireAndover2019,"Mineral Co 44, 38, 39, 33, Grant Co 200, Hampshire Co 1 / Flue Fire / Russell Dale Road"
16,1099454414849482752,fireAndover2019,": Mineral Co 44, 38, 39, 33, Grant Co 200, Hampshire Co 1 / Flue Fire / Russell Dale Road"
17,1099471683465834497,fireAndover2019,"#Fire&amp;Ice minus Fire. ️ Wolfeboro, New Hampshire"
18,1099496474621239297,fireAndover2019,The tickets were issued rapid fire for drivers who failed to properly clear their vehicles from snow and ice. A law…
19,1099511211757133824,fireAndover2019,"Hampshire Co 6, 42 Fire&amp;EMS / Investigation/ area of Jersey Mountain Road. Caller advising an Electrical outlet wa…"
20,1099520777731428352,fireAndover2019,": Hampshire Co 6, 42 Fire&amp;EMS / Investigation/ area of Jersey Mountain Road. Caller advising an Electrical outlet was smoking…"
21,1099526393489178625,fireAndover2019,"With all due respect, please keep your failed firearm laws in New Jersey. New Ha…"
22,1099610650664304640,fireAndover2019,Another amazing few hours in the woods! #outdoors #outdoorliving #nature #campfire #campfirecooking #whittling…
23,1099650926820945921,fireAndover2019,"If that were true then Vermont and New Hampshire would have the most accidents, and deaths by firea…"
24,1099684120853127168,fireAndover2019,: Especially the denial - the firefighters had just imagined the rampaging robots apparently
25,1099703494116864007,fireAndover2019,": Hampshire Co 6, 42EMS, 10, ALS 101 / Cardiac Arrest / Frost Drive"
26,1099722489914114048,fireAndover2019,Fire completely destroys a parked car and damages a van in Yateley
27,1099723128786186240,fireAndover2019,The cause of the fire is still unknown
28,1099723234440826882,fireAndover2019,Fire completely destroys a parked car and damages a van in Yateley
29,1099723277239488512,fireAndover2019,Fire completely destroys a parked car and damages a van in Yateley
30,1099723746045239296,fireAndover2019,Fire completely destroys a parked car and damages a van in Yateley
31,1099739216936947712,fireAndover2019,Fire completely destroys parked car in Yateley
32,1099775978564399104,fireAndover2019,Town goers initially thought it was a bonfire
33,1099803019150016512,fireAndover2019,"Fire crews from Farnham, Camberley &amp; Guildford are attending reports of a fire in a high rise in Aldershot Hampshir…"
34,1099804857500950528,fireAndover2019,": Fire crews from Farnham, Camberley &amp; Guildford are attending reports of a fire in a high rise in Aldershot Hampshire, follow…"
35,1099806352304754689,fireAndover2019,Hampshire Co 3 / Small tree on fire / Hillside Drive in the area of the powerlines
36,1099823813808873472,fireAndover2019,"Hampshire Co 1, Hardy Co 46 / Brush Fire/ South Branch River Road"
37,1099849854098915329,fireAndover2019,Fire completely destroys a parked car and damages a van in Yateley
38,1099942641926631424,fireAndover2019,": Fire crews from Farnham, Camberley &amp; Guildford are attending reports of a fire in a high rise in Aldershot Hampshire, follow…"
39,1099943610429124608,fireAndover2019,": Fire crews from Farnham, Camberley &amp; Guildford are attending reports of a fire in a high rise in Aldershot Hampshire, follow…"
40,1099974551444905985,fireAndover2019,"Hampshire Co 9, 3 / Small yard fire / wires down/ Timber Mountain Road"
41,1099978726413135872,fireAndover2019,Hampshire Co 1 / tree an wires on fire/ 6151 Grassy Lick Road
42,1100001395292491776,fireAndover2019,": DELAYS for Monday, 2/25/19 as it stands now. Please be careful. Berkeley County Schools 2 Hours Jefferson County Schools 2 H…"
43,1100018394894618624,fireAndover2019,Cambridge Fire History from 19 Feb 1977: Three alarms Box 3-293 for the building at Prospect and Hampshire Streets.…
44,1100020909396709377,fireAndover2019,Ocado fire: Fears of explosion and toxic leak prompts evacuation order
45,1100040659497562112,fireAndover2019,"Hampshire Co 9, 7, 3, 12, 13 / Powerlines down/ Small Fire/ Timber Mountain Road approximately 1/2 mile in"
46,1100049572859125760,fireAndover2019,: Interesting read: got an interview with the spox for the company that purchased New Hampshire's coal-fired po…
47,1100049592740122624,fireAndover2019,: Cambridge Fire History from 19 Feb 1977: Three alarms Box 3-293 for the building at Prospect and Hampshire Streets. -J…
48,1100052000761434117,fireAndover2019,: HAHAHAHAHA!!! FAIL: Lib Mouthpiece Eric Swalwell Tests Waters in New Hampshire - Holds Live Broadcast -- Only 21 People Tun…
49,1100054610935496706,fireAndover2019,"Windham, New Hampshire *INVESTIGATION* 94 Londonderry Rd - Report of smoke in the building, Londonderry Fire mutual…"
50,1100060327843115009,fireAndover2019,": Hampshire Co 9, 7, 3, 12, 13 / Powerlines down/ Small Fire/ Timber Mountain Road approximately 1/2 mile in"
51,1100069783020752901,fireAndover2019,": Hampshire Co 6, 42EMS, 10, ALS 101 / Unconscious Patient/ Levels area"
52,1100070526385573896,fireAndover2019,Printers were evacuated following Ocado warehouse print fire
53,1100081065459441665,fireAndover2019,Good job one of your vans wasn’t blocking the fire engines. I came home today to one of your vans across my…
54,1100086519744868352,fireAndover2019,": DELAYS for Monday, 2/25/19 as it stands now. Please be careful. Berkeley County Schools 2 Hours Jefferson County Schools 2 H…"
55,1100117106744537093,fireAndover2019,: HAHAHAHAHA!!! FAIL: Lib Mouthpiece Eric Swalwell Tests Waters in New Hampshire - Holds Live Broadcast -- Only 21 People Tun…
56,1100119216668192768,fireAndover2019,"Just read a wonderful story in the Economist. In New Hampshire, USA, fire stations have been set up to help people…"
57,1100122529027448837,fireAndover2019,Business hits out and pulls support from radio station after Ocado fire video: AN ADVERTISER has publicly pulled su…
58,1100151287402975234,fireAndover2019,Important advice from Hampshire FRS. Fire safety at home via
59,1100164928323825664,fireAndover2019,Business hits out and pulls support from radio station after Ocado fire video
60,1100179005901324288,fireAndover2019,Also she did some character assassination a year ago when she fired me and said that I’m lazy and not a good worker…
61,1100295827438911488,fireAndover2019,": After returning from #OcadoAndoverFire around 03:00 this morning, the crew set to work cleaning all our equipment and our…"
62,1100299477670334465,fireAndover2019,: #ducknorris was at the #OcadoFire in #Andover for almost 18 hours overall! Here are some photos of the incident!
63,1100299522956296192,fireAndover2019,: More than 120 firefighters attended the #OcadoFire in #Andover today. For more information click here
64,1100299522956296192,fireAndover2019,: More than 120 firefighters attended the #OcadoFire in #Andover today. For more information click here
65,1100321394871754752,fireAndover2019,Our colleagues from are running an exercise on part of the Basingstoke and North Hampshire Hospital sit…
66,1100321840952680448,fireAndover2019,: Our colleagues from are running an exercise on part of the Basingstoke and North Hampshire Hospital site today.…
67,1100334735891533824,fireAndover2019,Ocado says fire at warehouse will hit sales growth and orders
68,1100343723651727360,fireAndover2019,Fire at automated warehouse underlines fire protection complexity.
69,1100354830302961664,fireAndover2019,Has the recent Ocado fire got you thinking about your #warehouse #firesafety? Quick checklist: - Don’t overload yo…
70,1100368756163911680,fireAndover2019,"Hampshire Co 6, 3, 5 / Activated Fire Alarm/ Turkey Ridge Road"
71,1100377522926166017,fireAndover2019,Andover fire doesn't appear to have slowed Ocado's appetite for deal-making #retail
72,1100380294094483456,fireAndover2019,: NEW HAMPSHIRE The responded to our building tonight when 3 floors of alarms were going off. Firefighter Mike no…
73,1100402614322241536,fireAndover2019,Travelers with a valid firearm permit can travel with guns in their checked bags if they follow certain guidelines.…
74,1100403902388887552,fireAndover2019,"This issue stretches to New Hampshire firefighters as well, as continues debate on ’s SB…"
75,1100404099474812930,fireAndover2019,": This issue stretches to New Hampshire firefighters as well, as continues debate on ’s SB 257, addressi…"
76,1100404227334115328,fireAndover2019,": This issue stretches to New Hampshire firefighters as well, as continues debate on ’s SB 257, addressi…"
77,1100406601284874240,fireAndover2019,: Travelers with a valid firearm permit can travel with guns in their checked bags if they follow certain guidelines. This…
78,1100407100277170176,fireAndover2019,: Travelers with a valid firearm permit can travel with guns in their checked bags if they follow certain guidelines. This…
79,1100409564803956744,fireAndover2019,": This issue stretches to New Hampshire firefighters as well, as continues debate on ’s SB 257, addressi…"
80,1100411860153622529,fireAndover2019,"1118 Hampshire, QMG, Pull station fire alarm, Qfd E2 responding."
81,1100415890267373571,fireAndover2019,": This issue stretches to New Hampshire firefighters as well, as continues debate on ’s SB 257, addressi…"
