,tweetids,topics,cleanedtweets
0,726937183265783808,fireYMM2016,View from shell in Gregoire #ymmfire #fortmcmurray
1,726938031488417792,fireYMM2016,This is where one of the fires is #YMM #ymmfire #abFire please stay safe!
2,726944254027812864,fireYMM2016,"From AB Emerge Alrt If you live in Gregoire, prepare to evacuate on short notice. Avoid moving to higher ground. #ymm #ymmfire"
3,726963564758474753,fireYMM2016,#ymmfire #rmwb #fortmacmurray view from timberlea #bushfire
4,726971963126607872,fireYMM2016,#ymmfire #fortmcmurray #ymm starting to see flames and wind has picked up
5,726973181030862849,fireYMM2016,"'There is a lot of tension,' residents evacuated as wildfires burn around Fort McMurray #ymm #ymmfire"
6,726978229727174656,fireYMM2016,Oh we have a new # #iShitYouNOTLey #ymm #abpoli #ymmfire #fortmcmurray Fort McMurray
7,726983632984805377,fireYMM2016,I need to go to sleep but I can't tear my eyes off what's happening at home. Stay safe #ymm! #ymmfire
8,726988150938066944,fireYMM2016,"Thinking of my friends, and everyone else, in Fort McMurray tonight. Be safe. #ymm #ymmfire"
9,726989098750107649,fireYMM2016,So scary watching all of this from afar and being worried about friends and loved ones. Stay safe all #ymm #cantsleeptonight #ymmfire
10,726990885498576896,fireYMM2016,Questions not answered or covered by our coverage? You can call the RMWB Pulse line at 780-743-7000 #YMM #YMMFIRE
11,726993993821773825,fireYMM2016,"State of Emergency declared. Mandatory evacuation now in effect for Gregoire, Prairie Creek. #YMM #YMMFIRE"
12,726995757832634368,fireYMM2016,"Fort McMurray got me started on this weird radio thing I do now. Hoping the best for a city that's given me so, so, so much. #ymm #ymmfire"
13,726996753858220032,fireYMM2016,I hope that everyone stays safe tonight in Fort McMurray tonight!!! #ymm #ymmfire
14,726998204114341888,fireYMM2016,: #ymmfire stay safe!
15,727000784290766850,fireYMM2016,. has the latest on #ymmfire situation and mandatory evacuation in Gregoire and Paddle Creek. #ABfire
16,727004343350743040,fireYMM2016,I have a truck. If you need anything just call. #ymmfire #ymm
17,727005450651082752,fireYMM2016,Are you leaving your #ymm home because of #ymmfire ? We want to talk to you: (780)-429-5289
18,727005757846081536,fireYMM2016,#ymmfire As we try to get some sleep our friends in Fort Mac are in our prayers. God bless those fighting the fires. Keep them safe.
19,727007202666405888,fireYMM2016,It's a little disconcerting that my hometown is under a state of emergency. #ymm #ymmfire
20,727007210849492993,fireYMM2016,"Holy cow, none on ground either? What will our city face in the morning? #Weloveymm #ymm #ymmfire"
21,727007320505503744,fireYMM2016,From whom did that I information come? #ymmfire #ymfire2016
22,727009250342522880,fireYMM2016,Anyone needing assistance please message me I have a truck. #ymm #ymmfire
23,727009943740502016,fireYMM2016,#TeamNoSleep because I'm having anxiety about all the people and the fire thats near here. #ymmfire
24,727017466417696768,fireYMM2016,Video of #ymmfire at approx 8pm looking across #hwy63 south of Sawridge. #ymm
25,727022285085798400,fireYMM2016,For those wanting to help #ymm #ymmfire
26,727024605999681536,fireYMM2016,Just went back to Gregoire to grab a few last things.... The smell and smoke is getting stronger quickly #ymm #ymmfire
27,727024628573433856,fireYMM2016,Our thoughts are with the residents of Fort McMurray affected by the wildfires. #staysafe #ymm #ymmfire
28,727036329838551040,fireYMM2016,Thinking of all our friends tonight in #ymm. Stay safe. Thanks to the crews and volunteers taking care of the #community #ymmfire #heros
29,727039129557585920,fireYMM2016,Fort McMurray wildfires force evacuations - Edmonton - CBC News #ymm #rmwb #ymmfire #alberta
30,727040926409838592,fireYMM2016,600 ppl sleeping at MacDonald Island because the municipality gets confused over 'Mandatory' and ' Voluntary' #ymm #ymmfire
31,727041893784113152,fireYMM2016,Many prayers and best wishes for all those on the ground - stay safe all #ymmfire
32,727049502478241792,fireYMM2016,AUDIO: Regional Fire Chief Darby Allen provides an update on the current status of the fire - #ymm #ymmfire #rmwb
33,727065277586919424,fireYMM2016,"News Release: Wood Buffalo Forest Fire Update – May 2, 3 a.m #ymm #ymmfire #rmwb"
34,727065688658055168,fireYMM2016,Here's the latest update from the #RMWB on the #ymmfire - #ymm
35,727067141837590528,fireYMM2016,The #ymmfire is 1.2 km's west of Hwy 63 and Airport Road and has NOT cross the Hangingstone - #ymm #RMWB
36,727070886436569088,fireYMM2016,Stay safe #fortmcmurray #ymmfire #ymm
37,727070914370740224,fireYMM2016,ROUNDUP: Wildfire just 1.2 km’s from highway; Mayor impressed with community effort - #ymm #ymmfire #rmwb
38,727071677754933248,fireYMM2016,Add me to the list of #ymm #ymmfire evacuees. Could be an interesting trip. #yeg #yegmedia
39,727076519202299904,fireYMM2016,The fire and smoke bring such an eerie glow over YMM View from Waterways. Thanks to all who keep us safe #ymmfire
40,727081476185948164,fireYMM2016,Oh no...sorry to hear...pls be safe everyone #fortmcmurray #ymmfire
41,727088861365555200,fireYMM2016,: Regular transit service may be delayed as a result of the forest fire; we apologize for any inconvenience #ymm #ymmfire…
42,727089693314052096,fireYMM2016,are flights to #fortmcmurray still happening ? We have just been notified of the fire :( #ymm #ymmfire I hope everyone is safe !
43,727093084232765440,fireYMM2016,Fort McMurray wildfire update: Mandatory evacuation at Prairie Creek &amp; Centennial trailer park #ymm #ymmfire #abfire
44,727093897168605184,fireYMM2016,"Fort McMurray, #YMM, #YMMFIRE #ABFIRE — Stay safe out there today, fellow neighbours."
45,727095011104411648,fireYMM2016,The landfill will remain closed until fire-related threats are no longer present #ymm #rmwb #ymmfire
46,727105850037280768,fireYMM2016,Zero visibility crossing the bridges...stay informed and stay indoors today #ymmfire
47,727106613870485504,fireYMM2016,A special air quality statement has been issued for the #FortMcMurray area: #ymm #ymmfire #ABfire #rmwb
48,727110756198703104,fireYMM2016,VERY smoking this morning in #ymm Special statement issued regarding air quality already. #PrayingForRain #ymmfire
49,727114385055866881,fireYMM2016,#ymmfire #abfire #fire smoke in the air this morning at 6:30 am
50,727117659582652416,fireYMM2016,Sparksmen School bus pickup has been cancelled in Prairie Creek this morning according to the FMCSD - #ymm #ymmfire #RMWB
51,727117766482911232,fireYMM2016,what is the government doing to help us? #ymm #ymmfire Fort McMurray
52,727123557948346368,fireYMM2016,. had good updates last night. Worth a follow to stay up to date with #ymmfire situation.
53,727123634582487040,fireYMM2016,Everyone in my house woke up with sore throats &amp; headaches thanks to all the forrest fire smoke in the air! #ymm #ymmfire #FortMcMurray
54,727127260856201216,fireYMM2016,AMEN thanx all! #ymm #ymmfire #loveymm
55,727128601196412930,fireYMM2016,"Some FMCSD schools will keep kids inside today depending on smoke levels, but all Catholic Schools are open - #ymm #RMWB #ymmfire"
56,727129220955119616,fireYMM2016,"Just got off the phone w/ Alberta Agriculture &amp; Forestry spokesperson - no updates on #ymmfire at this time, crews out taking a look - #ymm"
57,727129489923280897,fireYMM2016,"If you can help, please call the volunteer hotline 780-762-3664 to help those in need in #ymm #rmwb #ymmfire #fortmac"
58,727131370397388800,fireYMM2016,"We're tracking the #ymmfire situation. If you've been affected or evacuated, get in touch. 780-429-5202 or pparsons.com."
59,727131374830891008,fireYMM2016,"Fort Mac wildfire: Info about the State of Emergency, evacuations and air quality advisory #ymmfire #abfire #yeg"
60,727132661056212992,fireYMM2016,Sparksman bus pickup in Prairie Creek cancelled this morning. All #FMCSD Schools are open. #ymm #fortmac #ymmfire
61,727133903518052352,fireYMM2016,#WBFoodbank: as an active member of emergency services there may be delays in services today please be patient. Thanks #ymmproud #ymmfire
62,727136018760110081,fireYMM2016,Transit service is up and running on schedule #ymm #ymmfire #rmwb #fortmcmurray
63,727137040362426368,fireYMM2016,Smoke has really thickened over #ymm in the past hour. Still no big plumes like yesterday. #ymmfire
64,727140249575395328,fireYMM2016,Dammit #FortMcmurray I'm gone for one weekend and this is what happens? #ymmfire
65,727141577919967232,fireYMM2016,We hope everyone is safe today from the evacuations last night! #YMM #ymmfire #ymmfirefighters…
66,727144457389252609,fireYMM2016,any news on what's going on with outages in the downtown core? Power went out about 15 minutes ago #ymm #ymmfire
67,727144876014473216,fireYMM2016,"Fire Chief Darby Allen: ""We're in better shape this morning than I thought we would be."" - Fire hasn't moved much overnight #ymm #ymmfire"
68,727145047368556546,fireYMM2016,"Allen says they're hoping for winds coming in from the North East, worst direction would be easterly winds - #ymm #ymmfire #rmwb"
69,727145650471600128,fireYMM2016,#Wildfire one kilometre away from #FortMcMurray #ymm #ymmfire
70,727146180732440576,fireYMM2016,Wildfire slows progression towards Fort McMurray neighbourhoods #ymmfire #yeg #ymm
