,tweetids,topics,cleanedtweets
0,1099366276177190912,floodChoco2019,": In Choco, in a town call Istmina had a emergency, our President and your ministers DO ANYTHING FOR VENEZUELA, BU…"
1,1099544753262096385,floodChoco2019,Are Koi baat nai Wo emergency leave le lenge to Hindu saffron terror wale hai Na I…
2,1099580253905670144,floodChoco2019,There is an emergency in the Pacific Coast region of Colombia due to the flooding of five rivers. Several towns hav…
3,1099594165946441729,floodChoco2019,"The towns of Itsmina, Andagoya and Condoto in the Chocó province are flooded. The community asks the goverment of C…"
4,1099617854855335936,floodChoco2019,": Woah, this sand looks like a river."
5,1099696779124195331,floodChoco2019,": In Choco, in a town call Istmina had a emergency, our President and your ministers DO ANYTHING FOR VENEZUELA, BU…"
6,1099733508623425537,floodChoco2019,"Excuse me Senator, but MY COUNTRY RIGTH NOW HAVE A EMERGENCY IN CHOCO, OUR CHILDRENS D…"
7,1099747180070535168,floodChoco2019,": Excuse me Senator, but MY COUNTRY RIGTH NOW HAVE A EMERGENCY IN CHOCO, OUR CHILDRENS DIE EVERY…"
8,1099758300219015170,floodChoco2019,"West Colombia suffers (7,000 homes lost in massive flooding in the very poor, mostly black Pacific region) while Pr…"
9,1099759095203147776,floodChoco2019,": West Colombia suffers (7,000 homes lost in massive flooding in the very poor, mostly black Pacific region) while President…"
10,1099762371571068928,floodChoco2019,: Look how realistic it is! : bby_hari
11,1099763329235587072,floodChoco2019,": West Colombia suffers (7,000 homes lost in massive flooding in the very poor, mostly black Pacific region) while President…"
12,1099766199376855041,floodChoco2019,: all she did was wreck a home that was already wrecked
13,1099766204045185024,floodChoco2019,: leave jordyn woods alone she didn’t do anything wrong
14,1099776123322404864,floodChoco2019,Juan Fernando Quintero continues his top form with this perfectly placed ball into the back of the net. River Pla…
15,1099778961847054338,floodChoco2019,: Juan Fernando Quintero continues his top form with this perfectly placed ball into the back of the net. River Plate 1…
16,1099793252092395520,floodChoco2019,Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfie…
17,1099793479641772033,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
18,1099793613515571200,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
19,1099793642531766274,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
20,1099794251448238081,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
21,1099796288219037696,floodChoco2019,: Juan Fernando Quintero continues his top form with this perfectly placed ball into the back of the net. River Plate 1…
22,1099797375374290946,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
23,1099800341292478469,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
24,1099805935869022209,floodChoco2019,: Juan Fernando Quintero continues his top form with this perfectly placed ball into the back of the net. River Plate 1…
25,1099808974977884161,floodChoco2019,: Juan Quintero last six games for River Plate: vs Union ️ vs Velez ️ vs Racing ️ vs Rosario Central ️ vs Banfield v…
26,1099812195301576704,floodChoco2019,: Juan Fernando Quintero continues his top form with this perfectly placed ball into the back of the net. River Plate 1…
