,tweetids,topics,cleanedtweets
0,1039850412961095680,hurricaneFlorence2018,NOW| All home high school football games have been rescheduled from Friday to today due to #HurricaneFlorerence. I?m breaking down weather impacts on area schools all morning on .
1,1039859522112774145,hurricaneFlorence2018,"In your storm preparation for #hurricaneflorence, please remember to check on your neighbors, people who are alone, people who are less able to help themselves, and of course friends &?"
2,1039866539305050112,hurricaneFlorence2018,How you come a day before a hurricane makes landfall and complain about the shelves being empty
3,1039869446389727236,hurricaneFlorence2018,"will be updating the campus as Hurricane Florence makes its way inland. If you have any photos, videos, or stories to share our way please send me a FB message at any point before, during, or after the storm."
4,1039870411712999427,hurricaneFlorence2018,Rain for past 7 days #Wc #ClaytonNC
5,1039871393356115968,hurricaneFlorence2018,"#OnLocation in Wilmington, NC for photographing meteorologist as #HurricaneFlorence makes it's way toward the Carolina's. #TheWeatherChannel?"
6,1039874714267729920,hurricaneFlorence2018,What do investigative reporters do when their newsrooms go into hurricane mode? Dig up interesting hurricane history!
7,1039875916137148417,hurricaneFlorence2018,Take advantage of services before Hurricane Florence hits.
8,1039878334581223425,hurricaneFlorence2018,Cumberland Courthouse and libraries close at noon Main HQ branch closed already to prepare its basement for flooding #HurricaneFlorence #florence
9,1039881215661232128,hurricaneFlorence2018,He's a fucking child. Meanwhile those of us that are waiting for the hurricane cannot depend on FEMA.
10,1039882628592095232,hurricaneFlorence2018,This hurricane isn?t stopping (18+) from updating. #asianwithabooty . . . . . #model #girl #hot #beautiful #love #fashion #beauty #cute #style #photooftheday #photography?
11,1039885945233911809,hurricaneFlorence2018,Predict?g 8-11 in rain in #Charlotte. 35 m/h winds. Downed trees/ power lines will b problems. Be prepared 4 going w/o power 3-5 days. #TurnAroundDontDrown sign up for alerts: text ?charmeck? at 777-888 CHECK ON NEIGHBORS
12,1039887356122329089,hurricaneFlorence2018,"day thirty six // let?s get wet Had to get creative to prep for a potential game in a hurricane yesterday. This week?s game and show is canceled, but I would feel bad not sharing some gems."
13,1039892077537058821,hurricaneFlorence2018,"11 AM Update: Hurricane Track Shifts Again, South Carolina Now at Greater Risk via"
14,1039893297282441216,hurricaneFlorence2018,"No surprises, 11AM #HurricaneFlorence update almost follows the Euro to a T...poor GFS left out to dry"
15,1039895399815933952,hurricaneFlorence2018,"The news is lying to you, don?t stock up on supplies, the only thing you need to get through the hurricane is beer and that?s from a true southerner"
16,1039897733732229122,hurricaneFlorence2018,"Do not be lulled into a false sense of security because the track is a little bit more South. This storm is huge, strong and hurricanes do what they want, especially once they make landfall. #HurricaneFlorence #ncwx"
17,1039899204515184640,hurricaneFlorence2018,"Hurricane is headed this way, and the grocery stores may be cleared out of water, milk and bread, but has you covered...amazing beer selection and fresh artisan roasted coffee. What more could you ask for?!?"
18,1039910256539787264,hurricaneFlorence2018,"Last lucky customer to get their trees out before Florence! ? #altec #boomtruck #treework #treelife #cranework Cary, North Carolina"
19,1039912404082221057,hurricaneFlorence2018,"'We are not all things to all people' FEMA Director #BrockLong No, you're all things to people who lose everything to a natural disaster! Someone punch this motherfucker in the face please! #HurricaneFlorence ?"
20,1039919591701590017,hurricaneFlorence2018,will you open during the hurricane in the Wilmington area ???
21,1039921829291458562,hurricaneFlorence2018,I took a long walk this morning on my 2nd hurricane day off from school. Followed that with climbing ladders to wash the outside of my house. No wonder my calves fill the burn.
22,1039923609609928704,hurricaneFlorence2018,Per Keep your eye on the storm and your need to know Shelter Locations. Chester County: Chester and Lewisville Middle Schools opening at 6pm tomorrow. Sumter County: Maywood Middle SchoolWe will be updating you as #Hurricane shelters open across our district!
23,1039925046544871425,hurricaneFlorence2018,"I?m not even gonna lie to ya, this hurricane about to fuck us up"
24,1039925905995563009,hurricaneFlorence2018,"#sumtersc #hurricaneflorence updates and useful links at City of Sumter, South Carolina"
25,1039927247996633090,hurricaneFlorence2018,"during his early days at #WRAL covering a hurricane in NC. Bret you must wish that #FoxNews would let you go out and cover #HurricaneFlorence . Just kidding, Bret keep up the great work! Everyone stay safe! Praying ? for minimal damage! #SpecialReport #TheStoryFNC"
26,1039932909975683073,hurricaneFlorence2018,"Rolls of paper towels balanced on his fists and this would be a perfect ""Trump arrives in NC after hurricane"" gif."
27,1039934644752248834,hurricaneFlorence2018,"The calm before the RSS ??? Stay safe during this hurricane season fam. Awesome picture Big Sears! #ChaVibes ?? Outer Banks, North Carolina"
28,1039935560868143104,hurricaneFlorence2018,"Atlanta is gonna have natives, folks who claim Atlanta but weren?t born in Atlanta, and hurricane evacuees in the city. It?s gonna be like sardines for the next week or so."
29,1039940115026653186,hurricaneFlorence2018,Interesting video with the change of Hurricane Florence?s cone of uncertainty over the past week or so.
30,1039943394670379008,hurricaneFlorence2018,#HurricaneFlorence is coming to the lab!
31,1039944540852039681,hurricaneFlorence2018,"14:31 E mph(Light Air) Gust:3 mph Rn:0"" RnTdy:0"" 24HrRn:0.17"" 87?F(Feels 100?F) RH:73% Dp:78?F Cb:2156' BP:1017.6inHg Evapo:.05"" Moon: Waxing Crescent #CarolinaWx #ClaytonNC #Wx"
32,1039945677227413505,hurricaneFlorence2018,"As Hurricane Florence approaches, LLR reminds Amusement Ride Owners to secure rides against possible winds and to not operate in high winds/rain/temperature fluctuation/severe weather."
33,1039947800107278336,hurricaneFlorence2018,"I?m nervous, too. We were devastated by Hurricane Hugo when I was five but this is my first hurricane to deal with as an adult. Our family beach house in Myrtle Beach is probably fucked."
34,1039952968815202304,hurricaneFlorence2018,"Todays story: Boarded businesses, empty homes as people evacuate North Carolina. We?re Tracking Florence: check out my coverage here #FirstAlert #Florence"
35,1039954649305018369,hurricaneFlorence2018,About 20 of us are hunkering in the newsroom to cover Hurricane Florence throughout the weekend. Keep updated to our website and social media as we report on some very important stories.
36,1039963778861936645,hurricaneFlorence2018,"People who rent out their homes and rooms on have graciously opened up their places for free for #HurricaneFlorence evacuees. If you need a place to stay, you can click the link, then find shelter."
37,1039965597390577666,hurricaneFlorence2018,Got this beauty safely to the airport to get her back to Seattle before the hurricane hits. Had to cut our week a couple days short!? Her next Trip back she will be in her gorgeous home! So excited to have her a few miles from me!!????#MissHerAlready?????
38,1039968365505376257,hurricaneFlorence2018,Why does Fayetteville think a city wide curfew is going to help against a hurricane?? Evaluate us. Fayetteville?s government
39,1039971994010312705,hurricaneFlorence2018,Great list that is useful now that we're closer to #HurricaneFlorence's arrival.
40,1039973610679623680,hurricaneFlorence2018,Conway leaders are meeting in the city's emergency operations center to implement a curfew starting at 7 tomorrow night and get a briefing on what the city is doing to prepare for #HurricaneFlorence.
41,1039974507551903744,hurricaneFlorence2018,"Not sure about the hurricane prepare stuff, i went to the grocery store and for two bottles of wine, a 24 case of beer and two cans of peanuts ?"
42,1039980594636247042,hurricaneFlorence2018,Are you guys still planning on having the concert on Sunday at Charlotte?? The hurricane is my main concern but I would really like to know so I could plan ahead if it?s still on.
43,1039981954152771585,hurricaneFlorence2018,Just drove past a man doing yard work a day before a catastrophic hurricane ???
44,1039983025474420743,hurricaneFlorence2018,about to just go to va for a couple weeks since this hurricane finna hit sc
45,1039988797126139906,hurricaneFlorence2018,The kids last night settling into their new temporary digs. #sarahthemoluccantoo #scarletmacaw #calicomacaw #moluccancockatoo #HurricaneFlorence?
46,1039993916668502024,hurricaneFlorence2018,Without the truck driver not a one evacuee trying to buy fuel or supplies would have any. #ThankATrucker #HurricaneFlorence
47,1039997059611414528,hurricaneFlorence2018,"As #HurricaneFlorence approaches, please take care of your pets! Prepare an emergency plan when this or any significant storm strikes. DON'T leave your pets behind! #triangleNC #Raleigh #animalsafety #NorthCarolina #sandyknowshomes #Florence #petsarefamily"
48,1039998291730149376,hurricaneFlorence2018,Vested interest in local tv stations product available ahead of hurricane season
49,1040010419346329600,hurricaneFlorence2018,Praying for those in the path of Hurricane Florence!
50,1040013710595698688,hurricaneFlorence2018,Thank you for sending power utility trucks to help North Carolina ?? Canada is our friend. Despite what says
51,1040014986859479041,hurricaneFlorence2018,"?School is closed Thursday, September 13 and Friday, September 14 due to Hurricane Florence! ? ??Stay Safe and Dry! ?? Robert F Kennedy Middle"
52,1040019645862998018,hurricaneFlorence2018,Carolina Weather - Current Local Conditions 7:29 PM. #Clayton #NC #Wc
53,1040020454365220864,hurricaneFlorence2018,Monday: Hurricane Florence isn?t even going to hit us. Wednesday: South Carolina is going to get wrecked.
54,1040021744407511041,hurricaneFlorence2018,"Yeah so this is happening. Filling up growlers with h2o just Incase. #hurricaneflorence Charlotte, North Carolina"
55,1040025956029747201,hurricaneFlorence2018,Steady stream of #WrightsvilleBeach residents evacuating before the 8pm deadline. They must be out ahead of #HurricaneFlorence. #ABC11
56,1040031005388812288,hurricaneFlorence2018,Georgia State Parks open for Hurricane Florence evacuees | Prayers to all in the path of Hurricane Florence.
57,1040038169620766720,hurricaneFlorence2018,"#Florence: It?s somewhat quiet but definitely eerie here. There?s a mandatory evacuation and it?s a ghost town in #WrightsvilleBeach, NC but the wind is picking up and the waves are hitting the shore hard. #HurricanceFlorence #NorthCarolina"
58,1040040617961615360,hurricaneFlorence2018,can someone explain to me how there?s an hurricane heading our way but it?s so freakin calm outside ?????
59,1040043824033222657,hurricaneFlorence2018,"Relatable. See , we?re not the only ones who emphatically defend (...argue about) our ideas for appropriate hurricane prep plans and hurricane snacks in public. ?????#hurricaneFlorence"
60,1040047234560217088,hurricaneFlorence2018,"With the hurricane shifting, I still would like to express my immense gratitude towards for keeping us updated and encouraging us to prepare for the worst and hope for the best. If not for him and had the storm not shifted, I would have only had 1/2 lb deli meat"
61,1040052592980750336,hurricaneFlorence2018,Hurricane Florence may be a Category 4 but these pics are Category 5 ??? UNC Pembroke
62,1040053560107524096,hurricaneFlorence2018,Why can't we get those airplanes that fight forest fires which dropped water onto the fire in the forest? We can load the planes with ice cold water or water with ice cubes whatever and drop that into the Gulf of Mexico to cool off the water so the Hurricanes can't get strength.
63,1040054872534601728,hurricaneFlorence2018,"We are hurricane ready here in Charlotte, NC! Pray for us! ?? #lacroix #perrier #sparklingwater #charlottenc #queencity #hurricaneflorence #stayhydrated Charlotte, North Carolina"
64,1040056513811886083,hurricaneFlorence2018,Please pray for North Carolina and all those who might be affected by #HurricaneFlorence2018
65,1040057608055476224,hurricaneFlorence2018,My father has yet to call me and ask me am I prepared for this hurricane....or just to say he loves me or hey but hey how important is your only child these days ?????
66,1040059225882484736,hurricaneFlorence2018,When will #ActOnClimate. Severe weather is climate change. #TW #HurricaneFlorence
67,1040062808015159296,hurricaneFlorence2018,"""Waffle House activates its storm center as Hurricane Florence approaches"""
68,1040071195281051648,hurricaneFlorence2018,"I try not to give tweets like this anymore publicity than they already get, but these claims about Puerto Rico are ridiculous. Hurricane Maria decimated a thriving island full of loving and hospitable people. We failed Puerto Rico. Do not further disrespect them like this. ??"
69,1040073127622057984,hurricaneFlorence2018,"Generators are a big hit this time of year, especially when facing a major hurricane barreling towards you! #nature #hurricane #HurricaneFlorence #Florence #HurricanceFlorence #Power #people #life #helpingothers #HurricanePreparedness #HurricanePrep"
70,1040081285564321793,hurricaneFlorence2018,Not worth evacuating now when Florence went down to Category 2 #HurricaneFlorence
71,1040089646028541952,hurricaneFlorence2018,"improves to 5-0 on the road under hurricane inspired ""Wednesday night lights"""
72,1040097680628871168,hurricaneFlorence2018,I?m going to be really upset if they force Tyler to work this weekend for this stupid hurricane. I really don?t want him out during it and I really don?t want to be home alone either. ?
73,1040124225435185153,hurricaneFlorence2018,2:25 Wind:Calm Dry 75?F(Feels 81?F) RH:95% Dp:73?F Cb:333' BP:1016.2inHg Moon: Waxing Crescent #CarolinaWx #ClaytonNC #Wx
74,1040169025861509120,hurricaneFlorence2018,My phone just went off about a hurricane warning and now I can?t go back to sleep................................?
