,tweetids,topics,cleanedtweets
0,750271842061914112,shootingDallas2017,"Witnesses: crowd mistook gunshots for fireworks in shooting that killed 2, wounded 2 near Taft/Dallas #khou11"
1,750297964963389440,shootingDallas2017,Dallas nightclub security guard involved in fatal shooting
2,750316221552263168,shootingDallas2017,I would also like to point out that all the recent mass shootings in America happened in gun free zones.
3,750336750241873922,shootingDallas2017,just heard rumours of a shooting in Dallas. Apparently Kennedy has been shot
4,750337795735060480,shootingDallas2017,There were 70 shootings this weekend in Chicago a place with some of the strictest gun laws in the country? Wonder how many were in Dallas🤔
5,750340917777739776,shootingDallas2017,#NRA #GUNVIOLENCE #NOMORESILENCE 5 Hurt in Fourth of July Shooting in Houston | NBC 5 Dallas-Fort Worth via
6,750361050344673280,shootingDallas2017,Police release photo of suspect vehicle in fatal shooting of 20-year-old near Dallas' Skyline High - Dallas M...
7,750371242822086657,shootingDallas2017,"This just in from 1963: ""FBI's Comey says 'no reasonable prosecutor' would bring a case against Oswald for Dallas shooting."""
8,750391150352093184,shootingDallas2017,"statistics within the past 2 or 3 years, I don't see Bogut's numbers shooting upward in Dallas"
9,750432662242861056,shootingDallas2017,: Dallas tribute to #Orlando #OrlandoShooting #dfw #dallas #love #visitorlando #peace #gaypride #loveislove
10,750437405425938432,shootingDallas2017,Miami Donwtown Shooting! New video. #miami #Florida #newyork #texas #michigan #laredo #boston #Dallas
11,750442801347727360,shootingDallas2017,"Apparently the league thinks so, I know if LeBron has Curry shooting he beats San Antonio and Dallas"
12,750463012465741824,shootingDallas2017,doing all that shooting wears me out man. I just wish there was more interaction in borderlands
13,750499831760564225,shootingDallas2017,Considering Dallas is only shooting 26% from the field it's pretty remarkable Wings are only down by five
14,750509858345013248,shootingDallas2017,"Wings still shooting 33% from the floor, Phoenix 48%, yet somehow tie game. Dallas' 12 offensive rebounds biggest ingredient"
15,750513667653771264,shootingDallas2017,"Now up to 19 &amp; 18 with 5:39 left in the game, Dallas and its 35-percent shooting somehow up by four"
16,750532345699020801,shootingDallas2017,This is horrifying but needs to be seen. No justification for shooting a man(a lot) when he's already apprehended
17,750543012237873153,shootingDallas2017,Southeast Division responding to '19 - Shooting' at 300 blk N Jim Miller Rd | Beat 353 | | 23:08
18,750544911699763200,shootingDallas2017,": Abdullah Muflahi, owner of store where Alton Sterling killed in BR, describes seeing shooting by officer"
19,750546826001059841,shootingDallas2017,I don't think he understood much about the list at all at first. He was just shooting his mouth off in ignorance.
20,750548772296548352,shootingDallas2017,if trump didn't understand the no fly list then he should educate himself before shooting off his mouth.
21,750561186173816833,shootingDallas2017,: Inbox: Baton Rouge Congressman calling for Justice Dept. investigation in #AltonSterling shooting
22,750563345263161344,shootingDallas2017,There was an officer involved shooting tonight in Dallas. I hope everyone involved is okay especially our officers.
23,750680246026838016,shootingDallas2017,"Louisiana Fatal Police Shooting Sparks Outrage, Protests | NBC 5 Dallas-Fort Worth via"
24,750692456664952833,shootingDallas2017,: Dallas! We are shooting a music video on the 24th and we need extras at the Granada at 4pm (no later than 5) SEE YOU TH…
25,750704784819183616,shootingDallas2017,": Dear Police, Use your common sense, you got tasers, please stop shooting unnecessarily.. Use your tasers. These people got…"
26,750714371765047301,shootingDallas2017,: There are reports both Officer's body cameras fell off during struggle in deadly police shooting of #AltonSterling.
27,750730746206138368,shootingDallas2017,Nice reminder -- maybe Rubio can start shooting reliably like Kidd did in Dallas
28,750780497580560384,shootingDallas2017,couple punches. The shooting wasn't necessary
29,750799488911106049,shootingDallas2017,WXIA/11 Alive: Paulding County shooting victim described as loving husband and father
30,750836866723803136,shootingDallas2017,: Night time adventures! And no... that is not a bug... It's a shooting star
31,750842231007748096,shootingDallas2017,Dallas company works with its client to prevent school shootings. Some good news and comfort for parents across US -
32,750843629959131136,shootingDallas2017,Dallas company works with its client to prevent school shootings
33,750870192096317440,shootingDallas2017,: LOOK happy #ramadan shooting at Dallas Airport.#islamIsPeace #MAGA #DC #NYC #brexit #EUref #Austria #Dallas #Texas htt…
34,750872741587267584,shootingDallas2017,Dallas company helps Tactical Institute in preventing school shootings across the US using f
35,750876448534114305,shootingDallas2017,they are protesting the shooting in Dallas and the news said something happened and police are all over outside
36,750877157996519424,shootingDallas2017,"Twilight shooting in Dallas with Dallas Downtown, Texas, USA"
37,750896881706860544,shootingDallas2017,Dozens of protesters gathered in downtown Dallas over the Baton Rouge police shooting death of Alton Sterling:
38,750909560844460032,shootingDallas2017,Laker fans are gonna love Calderon's shooting and how he takes care of the ball...I was mad when he left Dallas
39,750911750632009728,shootingDallas2017,": First the #altonsterling shooting, now the #FalconHeightsShooting , we are witnessing the fall of America"
40,750919975741915136,shootingDallas2017,"another day, another man shot by police .. gotta get outta here bruh #RIPPhilandoCastile #falconheightsshooting"
41,750921109738971137,shootingDallas2017,": This baby saying ""it's okay, I'm right here with you"" to her mama. This shouldn't be her reality. #FalconHeightsShooting"
42,750922926162083840,shootingDallas2017,": his 4 year old daughter had to watch him shot to death,this has got to stop#blacklivesmatter #FalconHeightsShooting ht…"
43,750923103740375040,shootingDallas2017,: #FalconHeightsShooting fucking upset me. God fucking DAMNIT IM SICK AF
44,750926719540879360,shootingDallas2017,Only time I can recall an officer rendered aid after shooting someone was the white guy in Dallas a few years ago going up to folk cars.
45,750929347574247424,shootingDallas2017,#Dallas PD on scene working a shooting. One man shot during a robbery attempt. Transported in serious condition
46,750933012519395329,shootingDallas2017,: LIVE on #Periscope: #FalconHeightsShooting
47,750957881311301632,shootingDallas2017,Now I'm sitting here wondering if the new truck my brother drives in Dallas is too nice. I'm genuinely scared for my family. They shooting.
48,750971070904238080,shootingDallas2017,Facebook blames 'technical glitch' for temporary removal of Falcon Heights shooting video ... via
49,750974441148993536,shootingDallas2017,"Don't bring that shooting black people to dallas, that shits dead"
50,750999701281845248,shootingDallas2017,DEVELOPING: Dallas Police investigating a reported shooting in the Pleasant Grove area. Working to get more info.
51,751000587689336832,shootingDallas2017,Editorial: Why we all should care about each of these officer-involved shootings - Dallas Morning News
52,751013359231741952,shootingDallas2017,Baton Rouge Police Shooting Sparks Dallas Protest #DFW
53,751015637737148420,shootingDallas2017,: . to donate $1 million for Dallas police response to #Orlando mass shooting
54,751026287280619520,shootingDallas2017,The likely hood of being in a mass shooting would stay the same because it is already less than a 1% chance of it happening
55,751026820607307776,shootingDallas2017,": So in a day where the NBA has become a 3 pt shooting competition, the Bulls new starting backcourt hit all of 69 3s la…"
56,751027902288986112,shootingDallas2017,"Another point I would like to point about mass shootings, is France and they have deadly mass shootings in the past few year"
57,751035606596136963,shootingDallas2017,If you stay in Dallas tx they will be getting together tonight to talk about the shootings downtown at 7
58,751044202042122240,shootingDallas2017,Karim will be shooting #weddings at #califorina and Dallas from 16 may 2017 till 27 June 2017 contact us on...
59,751056292500824064,shootingDallas2017,Dallas News: Fatal shooting by Minnesota officer investigated after aftermath caught on video:
60,751060185393668097,shootingDallas2017,Another police shooting victim Phillando Castille. No more. I'mready for a call to action. You have support here in Dallas!
61,751060427438718976,shootingDallas2017,Ashton Charles scored 14p on 6-8 shooting as Dallas Mustangs picked up easy win in opener of Gauntlet Finale. #adidasUprising #Top100Talent
62,751081482211340289,shootingDallas2017,: Another cop shooting? Are these cops even fucking trained correctly? What is going on in this country... Someone tell…
63,751083403861078016,shootingDallas2017,"SAP Order Fulfillment Manager -perm/Lexington, KY; REQ: order/invoice process troubleshooting on SAP system; recruiting.com"
64,751086630287486976,shootingDallas2017,: Wearing a hoodie. Failing to use turn signal. Selling CD's. Broken tail light. ALL DEAD. #FalconHeightsShooting https://…
65,751087333831618560,shootingDallas2017,Pretty sure Dallas wanted Conley and Whiteside at the beginning of free agency meaning they were shooting for 2 maxs
66,751089869623996416,shootingDallas2017,At work sick bout these last cop shootings. Protest at Belo Garden in Dallas today
67,751093995590209536,shootingDallas2017,"Was just discussing 1987 piece: ""DALLAS DEATH: SHOOTINGS BY POLICE STOKING ANGER"""
68,751098786928267264,shootingDallas2017,DALLAS! Join us as we share our plan as LIVE FREE DFW to respond to police shootings. #GetOrganized #AltonSterling
69,751117976896622592,shootingDallas2017,I remember when Rajon Rondo had a higher 3PT shooting percentage than FT shooting percentage in Dallas at one point during the season.
70,751125849584259072,shootingDallas2017,neither am I so..You're only proving my point that police brutality is the problem not race. They're shooting white people too
